item,count,ratio,464407
egg,20951,0.045113446,
wheat,20782,0.044749541,
butter,20744,0.044667716,
onion,18031,0.038825857,
garlic,16893,0.036375421,
milk,12895,0.027766593,
vegetable_oil,10759,0.023167179,
cream,10152,0.021860136,
tomato,9909,0.021336888,
olive_oil,9844,0.021196924,
black_pepper,9752,0.020998822,
pepper,9060,0.01950875,
vanilla,9025,0.019433385,
cayenne,7950,0.017118605,
vinegar,7695,0.016569518,
cane_molasses,7655,0.016483386,
bell_pepper,5847,0.01259025,
cinnamon,5603,0.012064848,
parsley,5562,0.011976564,
chicken,5294,0.011399484,
lemon_juice,5033,0.010837477,
beef,4822,0.010383134,
cocoa,4801,0.010337915,
corn,4777,0.010286236,
bread,4553,0.0098039,
scallion,4342,0.009349558,
mustard,4096,0.00881985,
ginger,3816,0.00821693,
basil,3779,0.008137259,
celery,3603,0.007758281,
carrot,3570,0.007687223,
potato,3545,0.007633391,
chicken_broth,3454,0.007437442,
yeast,3397,0.007314705,
rice,3395,0.007310398,
mushroom,3317,0.007142442,
cheese,3282,0.007067077,
soy_sauce,3236,0.006968026,
cumin,3220,0.006933573,
oregano,3179,0.006845289,
parmesan_cheese,3167,0.006819449,
macaroni,3074,0.006619194,
lard,3052,0.006571822,
lemon,3046,0.006558902,
thyme,3041,0.006548136,
cheddar_cheese,3029,0.006522296,
cream_cheese,2839,0.006113172,
walnut,2741,0.00590215,
starch,2585,0.005566238,
green_bell_pepper,2578,0.005551165,
nutmeg,2512,0.005409049,
honey,2483,0.005346603,
apple,2418,0.00520664,
almond,2320,0.004995618,
cilantro,2249,0.004842735,
pecan,2176,0.004685545,
white_wine,2166,0.004664012,
bacon,2156,0.00464248,
pork,1964,0.004229049,
bean,1903,0.004097699,
raisin,1903,0.004097699,
rosemary,1890,0.004069706,
fish,1879,0.00404602,
cucumber,1810,0.003897443,
olive,1797,0.003869451,
coconut,1710,0.003682115,
orange,1709,0.003679962,
orange_juice,1700,0.003660582,
tamarind,1663,0.003580911,
vegetable,1660,0.003574451,
buttermilk,1633,0.003516312,
pineapple,1616,0.003479706,
shrimp,1543,0.003322517,
coriander,1514,0.003260071,
bay,1472,0.003169634,
lime_juice,1427,0.003072736,
gelatin,1410,0.00303613,
red_wine,1393,0.002999524,
pork_sausage,1362,0.002932772,
sesame_oil,1341,0.002887553,
chive,1315,0.002831568,
